instrument_id,display_name,asset_type,group,mechanism,source_primary,source_fallback,frequency,unit,adjusted_required,required,max_staleness_days,notes
SPY,SPY,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
QQQ,QQQ,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
RSP,RSP,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
IWM,IWM,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
SOXX,SOXX,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
HYG,HYG,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
LQD,LQD,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
TLT,TLT,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
UUP,UUP,ETF,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
GLD,GLD,Commodity,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
^VIX,^VIX,Index,FAST_MARKET_CORE,yfinance,yfinance,,Daily,USD,False,True,1,
XLK,XLK,ETF,SECTOR_ROTATION_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
XLV,XLV,ETF,SECTOR_ROTATION_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
XLF,XLF,ETF,SECTOR_ROTATION_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
XLE,XLE,ETF,SECTOR_ROTATION_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
XLI,XLI,ETF,SECTOR_ROTATION_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
XLU,XLU,ETF,SECTOR_ROTATION_CORE,yfinance,yfinance,,Daily,USD,True,True,1,
XLB,XLB,ETF,SECTOR_ROTATION_OPTIONAL,yfinance,yfinance,,Daily,USD,True,False,1,
XLY,XLY,ETF,SECTOR_ROTATION_OPTIONAL,yfinance,yfinance,,Daily,USD,True,False,1,
XLP,XLP,ETF,SECTOR_ROTATION_OPTIONAL,yfinance,yfinance,,Daily,USD,True,False,1,
XLRE,XLRE,ETF,SECTOR_ROTATION_OPTIONAL,yfinance,yfinance,,Daily,USD,True,False,1,
TIP,TIP,ETF,DIAGNOSTIC_PRICE,yfinance,yfinance,,Daily,USD,True,False,1,
IEF,IEF,ETF,DIAGNOSTIC_PRICE,yfinance,yfinance,,Daily,USD,True,False,1,
SHY,SHY,ETF,DIAGNOSTIC_PRICE,yfinance,yfinance,,Daily,USD,True,False,1,
